,University,Department,State,Gender,Rank,Qualification,EmploymentType,Age,YearsOfExperience,Publications,PerformanceScore,AbsenceDays,CoursesTaught,StudentsSupervised,PayrollCategory,ResearchProductivity,TeachingLoad,Performance,YearsStudents
17582,Bayero University Kano,Statistics,Kwara,Female,Associate professor,M.Sc,Contract staff,54,26,8,8.2,5,5,12,Executive,0.2963,0.3846,42.2,0.4444
17583,University of Nigeria Nsukka,Law,Abuja,Female,Senior lecturer,Ph.D,Full-time staff,46,19,6,7.3,3,3,19,High,0.3,0.15,32.3,0.95
17584,University of Nigeria Nsukka,Accounting,Rivers,Female,Professor,Ph.D,Full-time staff,49,27,13,7.9,1,7,4,Executive,0.4643,1.4,47.9,0.1429
17585,University of Nigeria Nsukka,Biology,Zamfara,Female,Assistant lecturer,Ph.D,Part-time staff,29,4,0,7.3,4,4,1,Medium,0.0,2.0,11.3,0.2
17586,Obafemi Awolowo University,Law,Niger,Female,Senior lecturer,Ph.D,Full-time staff,38,16,4,6.9,2,7,20,Executive,0.2353,0.3333,26.9,1.1765
17587,Obafemi Awolowo University,English,Sokoto,Female,Lecturer ii,M.Sc,Full-time staff,37,8,5,6.7,2,2,8,Medium,0.5556,0.2222,19.7,0.8889
17588,University of Benin,Agriculture,Kaduna,Female,Associate professor,M.Sc,Part-time staff,55,26,9,9.8,3,4,13,Executive,0.3333,0.2857,44.8,0.4815
17589,University of Ilorin,English,Lagos,Female,Senior lecturer,Ph.D,Full-time staff,36,13,11,4.0,2,7,17,Executive,0.7857,0.3889,28.0,1.2143
17590,Bayero University Kano,Library science,Lagos,Female,Lecturer ii,Ph.D,Full-time staff,32,8,7,7.0,2,4,2,Medium,0.7778,1.3333,22.0,0.2222
17591,University of Benin,Pharmacy,Lagos,Female,Graduate assistant,Ph.D,Full-time staff,29,0,3,6.1,1,1,1,Low,3.0,0.5,9.1,1.0
17592,Abubakar Tafawa Balewa University Bauchi,Physics,Oyo,Female,Senior lecturer,Ph.D,Part-time staff,39,13,3,4.8,4,4,21,Executive,0.2143,0.1818,20.8,1.5
17593,Bayero University Kano,Engineering,Rivers,Female,Professor,Ph.D,Full-time staff,63,36,0,6.4,3,4,23,Executive,0.0,0.1667,42.4,0.6216
17594,Federal University of Technology Minna,Biology,Adamawa,Female,Lecturer ii,B.Ed,Full-time staff,33,4,5,8.2,2,3,10,Medium,1.0,0.2727,17.2,2.0
17595,Abubakar Tafawa Balewa University Bauchi,Statistics,Niger,Female,Lecturer i,Ph.D,Full-time staff,38,13,5,4.2,2,4,22,High,0.3571,0.1739,22.2,1.5714
17596,University of Benin,Law,Adamawa,Female,Lecturer i,M.Sc,Part-time staff,34,8,7,8.5,0,6,19,High,0.7778,0.3,23.5,2.1111
17597,University of Ilorin,Medicine,Plateau,Female,Assistant lecturer,B.Sc,Full-time staff,33,6,6,8.9,0,1,0,Low,0.8571,1.0,20.9,0.0
17598,Nnamdi Azikiwe University,Accounting,Abuja,Female,Professor,M.Phil,Full-time staff,57,38,22,7.6,0,6,13,Executive,0.5641,0.4286,67.6,0.3333
17599,University of Ilorin,Chemistry,Benue,Female,Lecturer ii,M.Sc,Full-time staff,35,8,6,7.0,2,3,22,Medium,0.6667,0.1304,21.0,2.4444
17600,University of Nigeria Nsukka,Chemistry,Katsina,Female,Lecturer i,B.Tech,Part-time staff,36,13,11,10.0,0,6,5,High,0.7857,1.0,34.0,0.3571
17601,Nnamdi Azikiwe University,Education,Zamfara,Female,Professor,MBA,Full-time staff,51,29,11,4.5,8,7,24,Executive,0.3667,0.28,44.5,0.8
17602,University of Ilorin,Accounting,Kano,Female,Lecturer i,M.Sc,Contract staff,41,13,3,9.8,3,3,22,High,0.2143,0.1304,25.8,1.5714
17603,University of Ilorin,History,Zamfara,Female,Lecturer ii,M.Sc,Contract staff,32,6,6,3.6,1,4,24,Medium,0.8571,0.16,15.6,3.4286
17604,University of Nigeria Nsukka,Statistics,Anambra,Male,Senior lecturer,M.Sc,Full-time staff,37,14,14,8.4,2,3,20,High,0.9333,0.1429,36.4,1.3333
17605,University of Nigeria Nsukka,Education,Lagos,Female,Assistant lecturer,Ph.D,Full-time staff,29,2,4,7.8,2,12,1,Medium,1.3333,6.0,13.8,0.3333
17606,Nnamdi Azikiwe University,Biology,Anambra,Female,Graduate assistant,M.Sc,Part-time staff,27,3,0,7.8,3,5,0,Medium,0.0,5.0,10.8,0.0
17607,University of Benin,Library science,Zamfara,Female,Senior lecturer,Ph.D,Part-time staff,46,17,6,6.4,3,1,20,High,0.3333,0.0476,29.4,1.1111
17608,Nnamdi Azikiwe University,History,Kaduna,Female,Lecturer ii,Ph.D,Full-time staff,28,6,0,9.8,0,7,9,Medium,0.0,0.7,15.8,1.2857
17609,Ahmadu Bello University,Physics,Enugu,Female,Lecturer i,Ph.D,Full-time staff,40,12,9,8.9,5,2,2,High,0.6923,0.6667,29.9,0.1538
17610,Ahmadu Bello University,Biology,Kwara,Female,Associate professor,Ph.D,Full-time staff,58,30,13,8.1,1,7,8,Executive,0.4194,0.7778,51.1,0.2581
17611,Ahmadu Bello University,English,Imo,Female,Lecturer ii,Ph.D,Full-time staff,32,6,4,5.9,7,3,8,Medium,0.5714,0.3333,15.9,1.1429
17612,Bayero University Kano,Education,Adamawa,Female,Associate professor,Ph.D,Contract staff,50,24,16,5.6,1,4,9,Executive,0.64,0.4,45.6,0.36
17613,Abubakar Tafawa Balewa University Bauchi,Computer science,Katsina,Female,Senior lecturer,Ph.D,Full-time staff,40,18,3,6.5,5,5,2,High,0.1579,1.6667,27.5,0.1053
17614,Ahmadu Bello University,English,Lagos,Female,Lecturer ii,M.Sc,Contract staff,35,10,1,6.7,3,2,12,Medium,0.0909,0.1538,17.7,1.0909
17615,Nnamdi Azikiwe University,Education,Plateau,Female,Senior lecturer,M.Sc,Full-time staff,43,0,12,6.7,2,4,3,Executive,12.0,1.0,18.7,3.0
17616,University of Ilorin,English,Delta,Female,Professor,M.Phil,Full-time staff,62,40,6,8.2,1,6,18,Executive,0.1463,0.3158,54.2,0.439
17617,Federal University of Technology Minna,Economics,Delta,Female,Associate professor,Ph.D,Full-time staff,53,28,10,4.6,1,5,12,Executive,0.3448,0.3846,42.6,0.4138
17618,Federal University of Technology Minna,History,Anambra,Female,Graduate assistant,M.Phil,Full-time staff,24,0,0,8.9,4,4,4,Low,0.0,0.8,8.9,4.0
17619,Nnamdi Azikiwe University,Library science,Plateau,Female,Lecturer i,B.Tech,Full-time staff,36,14,5,6.6,4,7,15,High,0.3333,0.4375,25.6,1.0
17620,University of Nigeria Nsukka,Library science,Kwara,Female,Senior lecturer,B.Sc,Full-time staff,44,18,10,9.5,8,1,7,High,0.5263,0.125,37.5,0.3684
17621,University of Nigeria Nsukka,Nursing,Delta,Female,Lecturer i,Ph.D,Contract staff,38,10,3,4.9,6,2,20,High,0.2727,0.0952,17.9,1.8182
17622,Abubakar Tafawa Balewa University Bauchi,English,Plateau,Female,Lecturer ii,M.Sc,Full-time staff,31,4,2,6.1,5,5,11,Medium,0.4,0.4167,12.1,2.2
17623,Bayero University Kano,Engineering,Taraba,Female,Lecturer i,Ph.D,Full-time staff,36,14,6,6.2,4,4,9,High,0.4,0.4,26.2,0.6
17624,University of Lagos,Mathematics,Katsina,Female,Lecturer i,M.Sc,Part-time staff,34,7,1,3.7,4,5,2,High,0.125,1.6667,11.7,0.25
17625,Obafemi Awolowo University,Education,Kaduna,Female,Lecturer ii,Ph.D,Adjunct staff,29,6,5,8.7,3,2,14,Medium,0.7143,0.1333,19.7,2.0
17626,Bayero University Kano,Law,Sokoto,Female,Lecturer i,Ph.D,Contract staff,33,7,7,5.6,6,0,7,High,0.875,0.0,19.6,0.875
17627,University of Benin,History,Kaduna,Female,Lecturer i,M.Phil,Full-time staff,35,11,5,5.7,1,7,17,High,0.4167,0.3889,21.7,1.4167
17628,Ahmadu Bello University,History,Benue,Female,Lecturer ii,M.Phil,Full-time staff,35,7,6,4.8,4,7,11,Medium,0.75,0.5833,17.8,1.375
17629,University of Ilorin,Library science,Anambra,Female,Lecturer ii,Ph.D,Full-time staff,35,6,7,9.5,3,7,11,Medium,1.0,0.5833,22.5,1.5714
17630,University of Lagos,Nursing,Rivers,Female,Lecturer i,Ph.D,Full-time staff,39,11,9,6.0,0,3,20,High,0.75,0.1429,26.0,1.6667
17631,University of Benin,Education,Kaduna,Female,Lecturer i,Ph.D,Full-time staff,35,8,2,4.9,0,5,17,Medium,0.2222,0.2778,14.9,1.8889
17632,Ahmadu Bello University,Engineering,Imo,Male,Senior lecturer,Ph.D,Full-time staff,42,16,8,4.9,3,4,10,Executive,0.4706,0.3636,28.9,0.5882
17633,Ahmadu Bello University,Geography,Taraba,Female,Associate professor,Ph.D,Full-time staff,54,26,8,5.4,5,5,13,Executive,0.2963,0.3571,39.4,0.4815
17634,Bayero University Kano,Engineering,Taraba,Female,Senior lecturer,M.Phil,Visiting staff,39,17,13,7.2,1,4,4,Executive,0.7222,0.8,37.2,0.2222
17635,University of Lagos,Library science,Plateau,Female,Lecturer i,B.Ed,Full-time staff,39,12,4,4.6,4,6,20,High,0.3077,0.2857,20.6,1.5385
17636,Obafemi Awolowo University,English,Kwara,Female,Senior lecturer,MBA,Full-time staff,49,21,10,9.0,3,3,5,Executive,0.4545,0.5,40.0,0.2273
17637,University of Lagos,Chemistry,Bauchi,Female,Senior lecturer,Ph.D,Full-time staff,45,19,4,6.5,6,6,24,Executive,0.2,0.24,29.5,1.2
17638,University of Ilorin,Architecture,Adamawa,Female,Assistant lecturer,Ph.D,Full-time staff,31,3,2,9.6,5,3,2,Medium,0.5,1.0,14.6,0.5
17639,Abubakar Tafawa Balewa University Bauchi,Mathematics,Imo,Female,Professor,Ph.D,Contract staff,55,31,8,5.7,5,4,18,Executive,0.25,0.2105,44.7,0.5625
17640,University of Lagos,Engineering,Imo,Male,Senior lecturer,Ph.D,Full-time staff,44,16,10,4.0,2,6,12,Executive,0.5882,0.4615,30.0,0.7059
17641,Federal University of Technology Minna,Biology,Sokoto,Female,Professor,M.Sc,Full-time staff,53,31,11,4.1,0,6,8,Executive,0.3438,0.6667,46.1,0.25
17642,Nnamdi Azikiwe University,Chemistry,Kaduna,Female,Senior lecturer,Ph.D,Full-time staff,39,17,4,4.0,0,7,4,Executive,0.2222,1.4,25.0,0.2222
17643,University of Benin,History,Rivers,Female,Senior lecturer,B.Tech,Visiting staff,39,14,5,7.1,2,4,21,High,0.3333,0.1818,26.1,1.4
17644,University of Nigeria Nsukka,Medicine,Zamfara,Female,Lecturer i,Ph.D,Part-time staff,36,13,7,6.4,2,6,24,High,0.5,0.24,26.4,1.7143
17645,University of Ilorin,Medicine,Anambra,Female,Senior lecturer,B.Sc,Full-time staff,39,15,10,9.2,2,6,8,Executive,0.625,0.6667,34.2,0.5
17646,University of Lagos,Agriculture,Delta,Female,Associate professor,M.Sc,Full-time staff,49,22,2,5.6,3,5,6,Executive,0.087,0.7143,29.6,0.2609
17647,University of Ilorin,Geography,Benue,Male,Assistant lecturer,B.Sc,Contract staff,26,2,5,8.2,3,1,0,Medium,1.6667,1.0,15.2,0.0
17648,Bayero University Kano,Accounting,Kaduna,Female,Lecturer i,M.Sc,Contract staff,36,9,8,5.8,0,1,4,High,0.8,0.2,22.8,0.4
17649,Abubakar Tafawa Balewa University Bauchi,Chemistry,Anambra,Female,Senior lecturer,MBA,Full-time staff,44,21,5,7.6,0,4,4,Executive,0.2273,0.8,33.6,0.1818
17650,Federal University of Technology Minna,Medicine,Adamawa,Female,Lecturer i,Ph.D,Full-time staff,33,11,10,9.1,4,4,7,High,0.8333,0.5,30.1,0.5833
17651,University of Nigeria Nsukka,Law,Rivers,Female,Assistant lecturer,Ph.D,Full-time staff,28,3,7,4.1,3,5,4,Medium,1.75,1.0,14.1,1.0
17652,University of Ilorin,English,Kaduna,Female,Graduate assistant,B.Ed,Full-time staff,25,2,3,7.1,2,7,3,Low,1.0,1.75,12.1,1.0
17653,University of Benin,Agriculture,Kaduna,Female,Assistant lecturer,Ph.D,Full-time staff,24,2,1,5.0,0,7,0,Medium,0.3333,7.0,8.0,0.0
17654,University of Benin,Law,Anambra,Female,Senior lecturer,Ph.D,Part-time staff,44,22,0,5.9,5,3,11,Executive,0.0,0.25,27.9,0.4783
17655,University of Benin,Economics,Benue,Female,Senior lecturer,Ph.D,Full-time staff,42,18,7,9.2,3,2,11,High,0.3684,0.1667,34.2,0.5789
17656,Ahmadu Bello University,Pharmacy,Kano,Female,Associate professor,Ph.D,Full-time staff,45,20,8,9.4,1,5,4,Executive,0.381,1.0,37.4,0.1905
17657,Nnamdi Azikiwe University,Nursing,Niger,Female,Lecturer i,Ph.D,Full-time staff,32,8,5,6.8,4,1,2,High,0.5556,0.3333,19.8,0.2222
17658,Federal University of Technology Minna,History,Oyo,Female,Senior lecturer,B.Sc,Full-time staff,41,13,13,8.4,1,2,2,High,0.9286,0.6667,34.4,0.1429
17659,Abubakar Tafawa Balewa University Bauchi,Computer science,Rivers,Female,Senior lecturer,M.Phil,Adjunct staff,41,15,0,5.6,4,2,14,Executive,0.0,0.1333,20.6,0.875
17660,University of Ilorin,Mathematics,Imo,Female,Senior lecturer,M.Sc,Part-time staff,40,13,13,8.3,1,4,16,Executive,0.9286,0.2353,34.3,1.1429
17661,University of Ilorin,Architecture,Abuja,Female,Senior lecturer,M.Ed,Contract staff,42,18,7,8.6,0,7,20,Executive,0.3684,0.3333,33.6,1.0526
17662,Abubakar Tafawa Balewa University Bauchi,Mathematics,Bauchi,Female,Lecturer i,Ph.D,Contract staff,34,9,3,5.4,5,3,9,High,0.3,0.3,17.4,0.9
17663,Nnamdi Azikiwe University,Law,Enugu,Female,Assistant lecturer,Ph.D,Full-time staff,27,2,3,6.4,5,5,4,Medium,1.0,1.0,11.4,1.3333
17664,Abubakar Tafawa Balewa University Bauchi,Accounting,Delta,Female,Lecturer ii,Ph.D,Full-time staff,35,9,7,8.0,10,4,23,Medium,0.7,0.1667,24.0,2.3
17665,University of Nigeria Nsukka,Engineering,Niger,Female,Lecturer i,Ph.D,Full-time staff,36,13,9,9.3,6,1,16,Medium,0.6429,0.0588,31.3,1.1429
17666,Obafemi Awolowo University,Architecture,Delta,Male,Associate professor,M.Sc,Full-time staff,52,23,11,8.0,3,7,14,Executive,0.4583,0.4667,42.0,0.5833
17667,Nnamdi Azikiwe University,Nursing,Enugu,Female,Associate professor,M.Tech,Part-time staff,49,21,8,6.6,3,2,20,Executive,0.3636,0.0952,35.6,0.9091
17668,University of Nigeria Nsukka,Economics,Kano,Female,Lecturer ii,B.Sc,Full-time staff,31,8,6,9.9,0,6,6,Medium,0.6667,0.8571,23.9,0.6667
17669,Abubakar Tafawa Balewa University Bauchi,Education,Katsina,Male,Senior lecturer,B.Sc,Full-time staff,42,13,4,9.0,2,6,11,Executive,0.2857,0.5,26.0,0.7857
17670,Federal University of Technology Minna,English,Zamfara,Female,Assistant lecturer,M.Ed,Contract staff,29,2,3,4.4,4,4,1,Low,1.0,2.0,9.4,0.3333
17671,Bayero University Kano,Law,Kaduna,Female,Associate professor,Ph.D,Full-time staff,52,0,14,3.8,1,1,3,Executive,14.0,0.25,17.8,3.0
17672,University of Ilorin,Mathematics,Abuja,Female,Professor,M.Phil,Full-time staff,55,29,3,7.3,1,6,6,Executive,0.1,0.8571,39.3,0.2
17673,University of Benin,Engineering,Imo,Female,Associate professor,M.Sc,Full-time staff,53,26,3,5.9,3,7,12,Executive,0.1111,0.5385,34.9,0.4444
17674,University of Lagos,Medicine,Bauchi,Female,Senior lecturer,Ph.D,Contract staff,44,19,3,7.7,1,2,15,High,0.15,0.125,29.7,0.75
17675,Abubakar Tafawa Balewa University Bauchi,Computer science,Delta,Male,Professor,M.Sc,Full-time staff,54,27,15,8.6,5,6,3,Executive,0.5357,1.5,50.6,0.1071
17676,Nnamdi Azikiwe University,English,Imo,Female,Lecturer i,Ph.D,Full-time staff,31,9,6,8.2,3,7,14,High,0.6,0.4667,23.2,1.4
17677,Nnamdi Azikiwe University,Education,Kaduna,Male,Associate professor,Ph.D,Full-time staff,49,26,15,6.9,1,1,13,Executive,0.5556,0.0714,47.9,0.4815
17678,University of Ilorin,English,Kano,Female,Professor,M.Tech,Full-time staff,62,35,8,4.6,1,4,7,Executive,0.2222,0.5,47.6,0.1944
17679,Ahmadu Bello University,Geography,Kano,Female,Associate professor,M.Sc,Full-time staff,48,26,8,7.9,4,1,19,Executive,0.2963,0.05,41.9,0.7037
17680,University of Nigeria Nsukka,Library science,Delta,Female,Lecturer ii,Ph.D,Full-time staff,36,8,4,3.8,1,0,11,Medium,0.4444,0.0,15.8,1.2222
17681,Ahmadu Bello University,Mathematics,Anambra,Female,Lecturer i,Ph.D,Full-time staff,39,14,4,4.3,5,6,7,High,0.2667,0.75,22.3,0.4667
17682,University of Nigeria Nsukka,Statistics,Imo,Female,Associate professor,Ph.D,Full-time staff,41,19,17,8.6,5,1,9,Executive,0.85,0.1,44.6,0.45
17683,Obafemi Awolowo University,Medicine,Kaduna,Female,Senior lecturer,MBA,Full-time staff,39,15,12,5.1,1,7,17,Executive,0.75,0.3889,32.1,1.0625
17684,Obafemi Awolowo University,Statistics,Plateau,Female,Lecturer ii,Ph.D,Full-time staff,35,10,7,6.8,2,6,23,Medium,0.6364,0.25,23.8,2.0909
17685,Abubakar Tafawa Balewa University Bauchi,Agriculture,Kano,Female,Lecturer ii,M.Sc,Full-time staff,30,5,8,5.4,0,1,12,Medium,1.3333,0.0769,18.4,2.0
17686,University of Nigeria Nsukka,Computer science,Taraba,Female,Lecturer ii,M.Sc,Full-time staff,30,4,4,4.6,6,2,8,Medium,0.8,0.2222,12.6,1.6
17687,Abubakar Tafawa Balewa University Bauchi,Economics,Anambra,Female,Associate professor,Ph.D,Full-time staff,50,24,13,6.6,5,6,9,Executive,0.52,0.6,43.6,0.36
17688,Obafemi Awolowo University,Library science,Lagos,Female,Lecturer i,B.Ed,Full-time staff,35,9,5,8.6,3,1,15,High,0.5,0.0625,22.6,1.5
17689,Bayero University Kano,Physics,Zamfara,Female,Graduate assistant,Ph.D,Full-time staff,24,0,5,7.5,6,7,2,Low,5.0,2.3333,12.5,2.0
17690,University of Ilorin,Nursing,Zamfara,Female,Senior lecturer,Ph.D,Full-time staff,44,18,2,9.7,4,6,16,High,0.1053,0.3529,29.7,0.8421
17691,Abubakar Tafawa Balewa University Bauchi,Physics,Plateau,Female,Senior lecturer,M.Tech,Full-time staff,46,18,8,3.5,0,6,10,Executive,0.4211,0.5455,29.5,0.5263
17692,University of Nigeria Nsukka,English,Lagos,Female,Lecturer ii,M.Sc,Full-time staff,32,6,6,6.4,1,7,8,Medium,0.8571,0.7778,18.4,1.1429
17693,Nnamdi Azikiwe University,Law,Adamawa,Female,Senior lecturer,Ph.D,Full-time staff,42,19,0,9.3,7,3,17,High,0.0,0.1667,28.3,0.85
17694,Obafemi Awolowo University,Biology,Katsina,Female,Assistant lecturer,Ph.D,Full-time staff,25,3,2,7.8,0,1,3,Medium,0.5,0.25,12.8,0.75
17695,University of Nigeria Nsukka,Education,Lagos,Female,Lecturer ii,M.Sc,Full-time staff,38,10,2,3.5,4,1,11,Medium,0.1818,0.0833,15.5,1.0
17696,Federal University of Technology Minna,Statistics,Zamfara,Female,Senior lecturer,Ph.D,Adjunct staff,49,20,7,7.3,0,2,7,Executive,0.3333,0.25,34.3,0.3333
17697,Bayero University Kano,Nursing,Niger,Female,Senior lecturer,Ph.D,Full-time staff,47,22,9,9.7,0,2,14,Executive,0.3913,0.1333,40.7,0.6087
17698,University of Lagos,Medicine,Rivers,Female,Lecturer i,Ph.D,Part-time staff,36,12,6,7.3,2,1,4,High,0.4615,0.2,25.3,0.3077
17699,Federal University of Technology Minna,Engineering,Kano,Female,Associate professor,Ph.D,Full-time staff,41,18,11,8.7,2,6,12,Executive,0.5789,0.4615,37.7,0.6316
17700,Obafemi Awolowo University,Library science,Zamfara,Female,Lecturer i,M.Sc,Full-time staff,42,15,6,5.4,4,4,11,High,0.375,0.3333,26.4,0.6875
17701,Federal University of Technology Minna,Economics,Niger,Female,Associate professor,Ph.D,Full-time staff,42,18,15,5.3,7,5,9,Executive,0.7895,0.5,38.3,0.4737
17702,University of Benin,Architecture,Lagos,Female,Senior lecturer,LL.B,Adjunct staff,38,15,10,5.0,9,3,16,Executive,0.625,0.1765,30.0,1.0
17703,Abubakar Tafawa Balewa University Bauchi,Biology,Imo,Female,Lecturer i,Ph.D,Full-time staff,31,8,0,7.4,7,5,22,High,0.0,0.2174,15.4,2.4444
17704,University of Lagos,Statistics,Sokoto,Female,Lecturer ii,Ph.D,Full-time staff,29,5,6,7.8,5,3,19,Medium,1.0,0.15,18.8,3.1667
17705,Nnamdi Azikiwe University,Mathematics,Niger,Female,Senior lecturer,M.Sc,Full-time staff,42,20,5,9.6,2,1,11,High,0.2381,0.0833,34.6,0.5238
17706,Obafemi Awolowo University,Pharmacy,Zamfara,Female,Associate professor,LL.B,Full-time staff,43,21,12,8.4,0,7,14,Executive,0.5455,0.4667,41.4,0.6364
17707,Bayero University Kano,Nursing,Anambra,Female,Assistant lecturer,M.Sc,Full-time staff,30,4,4,5.5,1,12,1,Medium,0.8,6.0,13.5,0.2
17708,University of Ilorin,History,Plateau,Female,Lecturer ii,Ph.D,Full-time staff,34,6,2,9.7,2,1,7,Medium,0.2857,0.125,17.7,1.0
17709,University of Lagos,Statistics,Enugu,Female,Associate professor,M.Sc,Part-time staff,43,19,2,6.6,4,6,7,Executive,0.1,0.75,27.6,0.35
17710,University of Lagos,Mathematics,Oyo,Female,Lecturer i,Ph.D,Full-time staff,40,14,3,9.7,5,6,7,High,0.2,0.75,26.7,0.4667
17711,Nnamdi Azikiwe University,Physics,Benue,Female,Lecturer i,Ph.D,Full-time staff,33,8,7,8.7,1,7,7,High,0.7778,0.875,23.7,0.7778
17712,Bayero University Kano,Law,Abuja,Female,Lecturer ii,M.Sc,Full-time staff,32,8,0,4.6,3,2,7,Medium,0.0,0.25,12.6,0.7778
17713,University of Benin,Architecture,Delta,Female,Lecturer ii,M.Sc,Full-time staff,36,8,4,5.1,9,7,24,Medium,0.4444,0.28,17.1,2.6667
17714,University of Benin,English,Bauchi,Female,Lecturer i,Ph.D,Adjunct staff,42,13,7,8.7,8,3,15,High,0.5,0.1875,28.7,1.0714
17715,University of Ilorin,Biology,Taraba,Female,Assistant lecturer,M.Sc,Full-time staff,27,3,4,3.7,2,7,1,Medium,1.0,3.5,10.7,0.25
17716,Bayero University Kano,Education,Oyo,Male,Lecturer ii,Ph.D,Adjunct staff,32,6,3,7.6,3,2,11,Medium,0.4286,0.1667,16.6,1.5714
17717,Obafemi Awolowo University,English,Sokoto,Female,Lecturer i,M.Sc,Contract staff,44,15,6,8.2,4,1,22,High,0.375,0.0435,29.2,1.375
17718,University of Lagos,Biology,Kwara,Female,Lecturer ii,M.Sc,Full-time staff,33,5,2,9.5,0,2,7,Medium,0.3333,0.25,16.5,1.1667
17719,University of Nigeria Nsukka,Computer science,Kaduna,Female,Senior lecturer,M.Sc,Full-time staff,44,18,1,5.5,0,6,5,Executive,0.0526,1.0,24.5,0.2632
17720,University of Nigeria Nsukka,Computer science,Delta,Female,Professor,B.Sc,Full-time staff,54,32,16,4.9,0,7,20,Executive,0.4848,0.3333,52.9,0.6061
17721,Obafemi Awolowo University,Biology,Adamawa,Female,Lecturer i,MBA,Visiting staff,38,10,3,7.5,0,3,23,High,0.2727,0.125,20.5,2.0909
17722,Obafemi Awolowo University,Computer science,Bauchi,Female,Lecturer i,M.Sc,Full-time staff,33,8,7,6.0,0,6,20,High,0.7778,0.2857,21.0,2.2222
17723,Nnamdi Azikiwe University,Computer science,Enugu,Male,Lecturer i,M.Sc,Full-time staff,37,11,5,8.1,1,3,16,High,0.4167,0.1765,24.1,1.3333
17724,Ahmadu Bello University,Architecture,Plateau,Female,Lecturer i,Ph.D,Full-time staff,41,13,9,9.8,0,7,15,High,0.6429,0.4375,31.8,1.0714
17725,University of Ilorin,English,Adamawa,Female,Graduate assistant,M.Phil,Full-time staff,29,1,2,4.4,7,3,3,Low,1.0,0.75,7.4,1.5
17726,University of Benin,Library science,Benue,Female,Professor,MBA,Contract staff,61,33,13,5.4,1,5,14,Executive,0.3824,0.3333,51.4,0.4118
17727,University of Nigeria Nsukka,Nursing,Oyo,Male,Lecturer ii,M.Tech,Full-time staff,34,9,4,9.8,1,3,11,Medium,0.4,0.25,22.8,1.1
17728,University of Nigeria Nsukka,Library science,Sokoto,Male,Lecturer i,Ph.D,Full-time staff,30,8,2,4.0,0,6,12,High,0.2222,0.4615,14.0,1.3333
17729,Bayero University Kano,Law,Plateau,Female,Lecturer i,Ph.D,Full-time staff,37,12,7,6.5,0,4,19,High,0.5385,0.2,25.5,1.4615
17730,Abubakar Tafawa Balewa University Bauchi,English,Adamawa,Female,Assistant lecturer,Ph.D,Full-time staff,26,3,2,6.8,2,7,3,Medium,0.5,1.75,11.8,0.75
17731,University of Nigeria Nsukka,History,Zamfara,Female,Associate professor,M.Sc,Full-time staff,43,18,5,4.6,4,1,17,Executive,0.2632,0.0556,27.6,0.8947
17732,Nnamdi Azikiwe University,Mathematics,Bauchi,Female,Associate professor,B.Tech,Full-time staff,42,19,4,4.6,1,3,20,Executive,0.2,0.1429,27.6,1.0
17733,Abubakar Tafawa Balewa University Bauchi,History,Imo,Female,Lecturer ii,Ph.D,Full-time staff,32,9,0,6.1,2,6,11,Medium,0.0,0.5,15.1,1.1
17734,University of Lagos,Agriculture,Zamfara,Female,Professor,B.Tech,Full-time staff,58,35,12,9.3,4,1,3,Executive,0.3333,0.25,56.3,0.0833
17735,Ahmadu Bello University,Education,Zamfara,Female,Professor,M.Ed,Full-time staff,56,31,6,3.6,2,2,21,Executive,0.1875,0.0909,40.6,0.6562
17736,University of Benin,Agriculture,Oyo,Female,Associate professor,Ph.D,Full-time staff,46,20,11,9.9,2,1,11,Executive,0.5238,0.0833,40.9,0.5238
17737,University of Ilorin,Education,Lagos,Male,Lecturer i,MBA,Full-time staff,32,9,3,5.1,4,4,9,High,0.3,0.4,17.1,0.9
17738,University of Lagos,Mathematics,Zamfara,Female,Senior lecturer,B.Tech,Adjunct staff,46,22,5,6.7,2,6,6,Executive,0.2174,0.8571,33.7,0.2609
17739,Bayero University Kano,Accounting,Adamawa,Male,Lecturer ii,M.Sc,Full-time staff,35,10,1,7.3,1,7,12,Medium,0.0909,0.5385,18.3,1.0909
17740,Bayero University Kano,Computer science,Imo,Female,Assistant lecturer,Ph.D,Full-time staff,32,3,4,6.4,6,6,0,Medium,1.0,6.0,13.4,0.0
17741,University of Benin,Mathematics,Niger,Female,Assistant lecturer,M.Ed,Full-time staff,27,2,3,4.1,3,1,1,Medium,1.0,0.5,9.1,0.3333
17742,Ahmadu Bello University,Computer science,Kwara,Female,Lecturer ii,B.Sc,Full-time staff,35,7,3,3.5,4,1,17,Medium,0.375,0.0556,13.5,2.125
17743,Ahmadu Bello University,Education,Rivers,Female,Lecturer i,M.Sc,Full-time staff,40,11,7,8.6,2,3,13,High,0.5833,0.2143,26.6,1.0833
17744,University of Nigeria Nsukka,Accounting,Oyo,Female,Senior lecturer,Ph.D,Full-time staff,36,12,4,4.5,13,3,18,Executive,0.3077,0.1579,20.5,1.3846
17745,Ahmadu Bello University,Economics,Abuja,Female,Senior lecturer,M.Ed,Full-time staff,42,17,6,8.9,2,7,16,Executive,0.3333,0.4118,31.9,0.8889
17746,University of Benin,Geography,Kaduna,Female,Lecturer ii,Ph.D,Full-time staff,32,4,4,9.7,5,4,11,Medium,0.8,0.3333,17.7,2.2
